xcen,ycen,sxx,syy,sxy                                                     
1.5000E+000,3.5500E+001,-8.6675E+006,-2.6270E+007,-5.2876E+004           
1.5000E+000,3.6500E+001,-8.6685E+006,-2.6238E+007,-5.2846E+004           
1.5000E+000,3.7500E+001,-8.6691E+006,-2.6207E+007,-5.2931E+004           
1.5000E+000,3.8500E+001,-8.6691E+006,-2.6175E+007,-5.2673E+004           
1.5000E+000,3.9500E+001,-8.6695E+006,-2.6145E+007,-5.3161E+004           
1.5000E+000,4.0500E+001,-8.6699E+006,-2.6115E+007,-5.0476E+004           
1.5000E+000,4.1500E+001,-8.6698E+006,-2.6085E+007,-4.8624E+004           
1.5000E+000,4.2500E+001,-8.6698E+006,-2.6059E+007,-4.6219E+004           
1.5000E+000,4.3500E+001,-8.6708E+006,-2.6032E+007,-4.2700E+004           
1.5000E+000,4.4500E+001,-8.6719E+006,-2.6008E+007,-3.8878E+004           
1.5000E+000,4.5500E+001,-8.6722E+006,-2.5987E+007,-3.5044E+004           
1.5000E+000,4.6500E+001,-8.6731E+006,-2.5967E+007,-3.1549E+004           
1.5000E+000,4.7500E+001,-8.6733E+006,-2.5949E+007,-2.8150E+004           
1.5000E+000,4.8500E+001,-8.6716E+006,-2.5935E+007,-2.2163E+004           
1.5000E+000,4.9500E+001,-8.6713E+006,-2.5922E+007,-1.8366E+004           
1.5000E+000,5.0500E+001,-8.6712E+006,-2.5911E+007,-1.3561E+004           
1.5000E+000,5.1500E+001,-8.6710E+006,-2.5905E+007,-9.1321E+003           
1.5000E+000,5.2500E+001,-8.6715E+006,-2.5901E+007,-4.4814E+003           
1.5000E+000,5.3500E+001,-8.6717E+006,-2.5899E+007,-1.0779E+003           
1.5000E+000,5.4500E+001,-8.6713E+006,-2.5900E+007,2.7849E+003            
1.5000E+000,5.5500E+001,-8.6710E+006,-2.5903E+007,7.1354E+003            
1.5000E+000,5.6500E+001,-8.6705E+006,-2.5907E+007,1.0099E+004            
1.5000E+000,5.7500E+001,-8.6698E+006,-2.5914E+007,1.3148E+004            
1.5000E+000,5.8500E+001,-8.6689E+006,-2.5922E+007,1.5689E+004            
1.5000E+000,5.9500E+001,-8.6690E+006,-2.5932E+007,1.7968E+004            
1.5000E+000,6.0500E+001,-8.6694E+006,-2.5943E+007,1.9832E+004            
1.5000E+000,6.1500E+001,-8.6686E+006,-2.5954E+007,1.9439E+004            
1.5000E+000,6.2500E+001,-8.6683E+006,-2.5965E+007,2.0026E+004            
1.5000E+000,6.3500E+001,-8.6688E+006,-2.5977E+007,2.0320E+004            
1.5000E+000,6.4500E+001,-8.6684E+006,-2.5990E+007,1.9889E+004            
1.5000E+000,6.5500E+001,-8.6684E+006,-2.6003E+007,1.9556E+004            
1.5000E+000,6.6500E+001,-8.6679E+006,-2.6013E+007,1.7537E+004            
1.5000E+000,6.7500E+001,-8.6670E+006,-2.6024E+007,1.6152E+004            
1.5000E+000,6.8500E+001,-8.6672E+006,-2.6035E+007,1.4861E+004            
1.5000E+000,6.9500E+001,-8.6670E+006,-2.6043E+007,1.3561E+004            
1.5000E+000,7.0500E+001,-8.6663E+006,-2.6052E+007,1.1809E+004            
1.5000E+000,7.1500E+001,-8.6662E+006,-2.6059E+007,9.1631E+003            
1.5000E+000,7.2500E+001,-8.6656E+006,-2.6063E+007,6.9874E+003            
1.5000E+000,7.3500E+001,-8.6661E+006,-2.6067E+007,5.0891E+003            
1.5000E+000,7.4500E+001,-8.6665E+006,-2.6070E+007,2.6269E+003            
1.5000E+000,7.5500E+001,-8.6660E+006,-2.6070E+007,1.4079E+002            
1.5000E+000,7.6500E+001,-8.6664E+006,-2.6070E+007,-9.5642E+002           
